religion,magic,secular
Dios,Fantasma,Caravana
Virgen,Bruja,Freno
Pesebre,Mago,Atajo
Trinidad,Duende,Tijeras
Beato,Hada,Moler
Milagro,Conjuro,Gancho
Vaticano,Varita,Medialuna
Católico,Magia,Grabador
Adviento,Telépata,Pasto
Adán,Astrólogo,Gripe
Eva,Ouija,Enjuagar
Amen,Maldición,Diccionario
Aleluya,Budú,Rascarse
Apocalipsis,Telekinesis,Espacio
Biblia,Tarot,Lavadora
Ángeles,Elfo,Trasbordar
Apóstol,Aura,Deporte
Cura,Chakra,Comisario
Bautizar,Clarividente,Suegro
Bendecir,Abracadabra,Emboscada
Catecismo,Rito,Centrifuga
Monja,Gnosticismo,Establo
Pecar,Aries,Hundir
Pastoral,Tauro,Envase
Cruz,Piscis,Amaestrado
Cuaresma,Cáncer,Adelgazar
Rosario,Libra,Escoltar
Diezmo,Capricornio,Firma
Iglesia,Virgo,Bonito
Eclesiástico,Escorpio,Capullo
Reencarnar,Sagitario,Enhebrar
Estigma,Acuario,Boomerang
Eucaristía,Leo,Juventud
Hostia,Geminis,Arena
Santo,Cuarzo,Mosquito
Diablo,Ágata,Planos
Infierno,Alquimista,Ritmo
Jesús,Místico,Goma
Liturgia,Amuleto,Piano
Mandamientos,Etiqueta,
Papa,Anatman,Vivienda
Obispo,Arquetipo,Zapato
Parróquia,Atlantis,Frambuesa
Pascua,Alíen,Gotera
Sagrado,Ovni,Caricatura
Testamento,Avalon,Lanzar
Samaritano,Sacrificio,Borde
Satanás,Sirena,Manga
Teología,Tritón,Hilo
Adorar,Vidente,Anfibio
Agnóstico,Adivina,Kiwi
Alabar,Predestinado,Medicamento
Aleluya,Sectario,Grabar
Altar,Brujería,Mediano
Ambón,Dragón,Polera
Apócrifo,Yoga,Tejido
Apóstol,Brahama,Grifo
Asunción,Temazcal,Cascara
Ateo,Chamán,Cajero
Basílica,Desdoblamiento,Ticket
Bautizar,Abacomancia,Cancha
Bienaventurado,Zarathustra,Nieto
Cáliz,Buda,Picotear
Creyente,Yogananda,Granja
Cardenal,Krishnamurti,Remolque
Caritativo,Aquelarre,Quitasol
Carisma,Jodorowsky,Esperar
Casto,Glastonbury,Piscina
Catedral,Kundalini,Rollo
Catequesis,Giza,Catalina
,Clarividente,Rodrigo
Célibe,Medium,Melisa
Cielo,Tarotista,Bruno
Comunión,Telépata,Diego
Cónclave,Psíquica,Thiago
Confirmación,Hipnotizar,El Tabo
Consagrar,Teletransportar,Villarrica
Credencia,Mentalizar,Santiago
