religion,magic,secular
Diócesis,Demonólogo,Arica
Discípulo,Sacerdotisa,Puerto Varas
Dogmático,Ho'oponopono,La Serena
Emmanuel,Wicca,Concepción
Encíclica,Péndulo,Panguipulli 
Esencia,Diosas,Montevideo
Eucaristía,Vibras (vibración),New York
Evangelio,Reiki,Buenos Aires
Exorcizar,Ocultismo,Guadalajara
Fe,Cristales,Alto
Genuflexión,Incienso,Blando
Gracia,Oráculo,Frondoso
Hereje,Unicornio,Barato
Homilía,Osho,Seco
Hosanna,Atrapasueños,Amueblada
Hostia,Quiromancia,Empalagoso
Iglesia,Profano,Cómico
IHS,Om,Desechable
Infierno,Zen,Escarchado
Jesucristo,Feng-shui,Hotel
Liturgia,Ying-Yang,Papagayo
Magisterio,Interconexión,Desatar
Mártir,Ancestros,Cerradura
Matrimonio,Cíclico,Auto
Misa,Intuitivo,Mariposa
Misterio,Masaje,Cliente
Monseñor,Abducido,Dibujar
Obispo,Ufología,Botón
Ofertorio,Monstruo,Dama
Parroquia,Ogro,Orilla
Pascua,I Ching,Riachuelo
,Destino,Actor
Penitente,Rumpología,Orejera
Pentecostés,Iluminado,Temblor
Pontífice,Moai,Primavera
Presbítero,Mito,Marraqueta
Prójimo,Leyenda,Raqueta
Purgatorio,Legendario,Mascota
Redimir,Elegido,Alicate
Religión,Inconsciente,Colador
Resucitar,Mándala,Avión
Revelación,Transpersonal,Amortiguar
Rito,Psicodélico,Insecto
Sacramento,Astral,Pizza
Sagrado,Ayurveda,Diligencia
Sagrario,Pranayama,Cóctel
Santuario,Mudra,Recorrido
Seminario,Veda,Pala
Templo,Asana,Letrero
Teologales,Sanación,Tirarse
Virtuoso,Biodanza,Somnoliento
Transubstanciar,Mantra,Cerco
Venerar,Trance,Nombre
Vicario,Levitar,Mercurio
Vigilia,Parapsicología,Difícil
Arcángel,Súperhumano,Mezcla
Serafines,Extrasensorial,Sopa
Querubines,Criptozoología,Creativa
Anglicano,Pegaso,Agresividad
Apócrifos,Chupacabras,Cualidad
Aureola,Demonio,Cordialidad
Arca,Alucinar,Dócil
Diluviar,Lagoness,Fealdad
Noé,New-Age,Igualdad
Babel,Holismo,Inquietud
Babilonia,Precognición,Habilidad
Moisés,Premonición,Vejez
Belén,Elevarse,Movilidad
Lourdes,Espiritista,Sorpresa
Jerusalén,Retrocognición,Versatilidad
Fátima,Vampiro,Utilidad
Devoto,Vórtice,Vital
Poseído,Energía,Hielo
Reencarnar,Visiones,Encaje
Concilio,Pránica,Guirnalda
Ortodoxo,Zombi,Hematoma
Congregación,Acupuntura,Rodilla
Ordenación,Aikido,Prendedor
Salvador,Castañeda,Flaco
ícono,Grof,Nostalgia
Confesar,Antroposofía,Ansiedad
Fiel,Aparición,Astucia
Peregrinar,Biomagnetismo,Calidad
Abstinente,Bioenergética,Añoranza
Limosna,Biofeedback,Ego
Caritativo,Reflexología,Destilar
Ayunar,Masaje,Suecia
Navidad,Mitología,Diente
Laico,Canalización,Rotar
Orar,Cantos,Mecánica
Reliquia,Cienciología,Postizo
Diácono,Clariaudiencia,Sonajero
Altar,Clarisintencia,Espejismo
Extremaunción,Mensajes,Zambullir
Plegaria,Deja-vú,Combustible
Adventista,Masonería,Cucurucho
Jesuita,Ayahuasca,Cabina
Salesiano,Druidas,Sudor
Franciscano,Alma,Domicilio
Novicia,Éxtasis,Tostar
Yahvé,Ectoplasma,Resumen
Ostia,Lama,Liviano
Bendecir,Simbólico,Peaje
Asceta,Gaia,Taza
Evangelizar,Cábala,Accidente
Judas,Elixir,Cochayuyo
Amén,Gnosticismo,Levadura
Sotana,Halo,Locomotora
Paraíso,Homeopatía,Playa
Avemaría,Iluminati,Cita
Encarnar,Área-51,Invasión
Limbo,Jainismo,Bombo
Anticristo,Karma,Cereal
Salmo,Templario,Derrumbe
Anunciación,Merlín,Sauna
Cirios,Espíritus,Pagar
Fraile,Naturopatía,Engranar
Cruzados,Paganismo,Temporera
Génesis,Neopaganismo,Bingo
Edén,Nirvana,Estancado
Maná,Nostradamus,Cuadra
Abadía,Numerología,Pipa
Creación,Profecía,Ojear
Heráldicas,Catarsis,Empacho
Capellán,Extracorporal,Impuesto
Omnipotente,Planetario,Aseo
Omnisciente,Visualización,Turistear
Crucificar,Pirámides,Caldera
Condenar,Runas,Inversionista
Arrepentimiento,Sufismo,Blanco
Cristiano,Talismán,Gol
Campanas,Tanatología,Embutido
Retablo,Teosofía,Ventilar
Estampa ,Meditación,Estufa
Acólito,Yoga,Cachorro
Dominicos,,Afligirse
Sacristía,,Eco
Convento,,Pan
Milagro,,Novela
Becerro,,Provincia
Gula ,,Peludo
Avaro,,Moda
Perezoso,,Desfile
Lujurioso,,Estómago
Iracundo,,Sello
Lucifer,,Oficina
Mesías,,Lavanda
Glorificar,,Fósforo
Canonizar,,Encorvado
Proverbio,,Recibir
Alabar,,Desabrochar
Sermón,,Jabalina
Divino,,Ensillar
Pastor,,Porcentaje
Cuaresma,,Anclaje
Metodista,,Arribar
Rosario,,Papel
Sacristán,,Letra
Pobre,,Caligrafía
Procesión,,Rascar
Campanario,,Cosquillas
Roma,,Computadora
Mirra,,Gotear
Mirra,,Elástico
,,Faja
,,Pinchar
,,Barrera
,,Ganar
,,Teatro
,,Danzar
,,Contaminación
,,Fabrica
,,Tela
,,Tejer
,,Pantufla
,,Cebar
,,Zurcir
,,Alborada
,,Cornisa
,,Perla
,,Resfriado
,,Orbitar
,,Empaque
,,Olla
,,Tetera
,,Motor
,,Espagueti
,,Esquiador
,,Pilas
,,Estancia
,,Avenida
,,Remache
,,Prevenir
,,trinar
,,trinar
